"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation"
"NoError, EmulTrap, ClearMem";"Lemmings ? 1990 Psygnosis.";"1990 Psygnosis";"whdload";"0";"Lemmings";"LemmingsImage";"2006927";"L\LemmingsImage\LemmingsImage.Slave";"4096";"L\LemmingsImage";"524288";"Lemmings";"OCS/ECS";"";"";"";"Image";""
"NoError, EmulTrap, ClearMem";"Leonardo ? 1989 Starbyte/The Golden Gate Crew.";"1989 Starbyte ";"whdload";"0";"Leonardo";"LeonardoDOS";"919226";"L\LeonardoDOS\LeonardoDOS.Slave";"0";"L\LeonardoDOS";"524288";"LeonardoDOS";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Leonardo ? 1989 Starbyte/The Golden Gate Crew.";"1989 Starbyte ";"whdload";"0";"Leonardo";"LeonardoHighDensity";"927730";"L\LeonardoHighDensity\LeonardoHighDensity.Slave";"0";"L\LeonardoHighDensity";"524288";"LeonardoHighDensity";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Lethal Xcess ? 1991 Eclipse";"1991 Eclipse";"whdload";"0";"Lethal Xcess";"LethalXcess";"1646506";"L\LethalXcess\LethalXcess.slave";"0";"L\LethalXcess";"524288";"LethalXcess";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Lethal Zone by Infernal Byte System (c) 1991 - 1 disk.";"1991 Infernal Byte System";"whdload";"0";"Lethal Zone";"LethalZone";"913789";"L\LethalZone\LethalZone.slave";"0";"L\LethalZone";"524288";"LethalZone";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Licence to Kill (c) 1989 Domark - 1 disk.";"1989 Quixel/Domark";"whdload";"0";"Licence To Kill";"LicenceToKill";"730735";"L\LicenceToKill\LicenceToKill.Slave";"0";"L\LicenceToKill";"524288";"LicenceToKill";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Limes & Napoleon ? 1989 EAS.";"1989 EAS ";"whdload";"0";"Limes & Napoleon";"Limes&Napoleon";"548881";"L\Limes&Napoleon\Limes&Napoleon.Slave";"0";"L\Limes&Napoleon";"524288";"Limes&Napoleon";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Liquid Kids ? 1991 Ocean (unreleased).";"1991 Ocean";"whdload";"0";"Liquid Kids";"LiquidKidsImage";"950456";"L\LiquidKidsImage\LiquidKidsImage.Slave";"4096";"L\LiquidKidsImage";"524288";"LiquidKids";"OCS/ECS";"";"";"";"Image";""
"NoError, EmulTrap";"Little Puff in Dragonland by Code Masters/Consult Software (c) 1989 - 1 disk.";"";"whdload";"0";"";"LittlePuffInDragonland";"568554";"L\LittlePuffInDragonland\LittlePuffInDragonland.slave";"0";"L\LittlePuffInDragonland";"524288";"LittlePuffInDragonland";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Live and let die ? 1988 Elite";"";"whdload";"0";"";"Live&LetDie&SpaceHarrier";"1002680";"L\Live&LetDie&SpaceHarrier\Live&LetDie&SpaceHarrier.slave";"";"L\Live&LetDie&SpaceHarrier";"524288";"Live&LetDie";"OCS/ECS";"";"";"";"";"SpaceHarrier"
"NoError, EmulTrap, ClearMem";"Live and let die ? 1988 Elite";"1988 Elite";"whdload";"0";"Live and let Die/Space Harrier";"LiveAndLetDie";"522344";"L\LiveAndLetDie\LiveAndLetDie.Slave";"0";"L\LiveAndLetDie";"524288";"LiveAndLetDie";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Livingstone 2 by Opera (c) 1990 - 1 disk.";"1990 Opera Soft";"whdload";"0";"Livingstone 2";"Livingstone2";"790527";"L\Livingstone2\Livingstone2.Slave";"0";"L\Livingstone2";"524288";"Livingstone2";"OCS/ECS";"";"";"";"";""
"NoError, NoKbd";"Llamatron (c) 1991 Jeff Minter/Llamasoft.";"1991 Jeff Minter";"whdload";"0";"Llamatron";"Llamatron512KB";"262809";"L\Llamatron512KB\Llamatron512KB.Slave";"0";"L\Llamatron512KB";"524288";"Llamatron";"OCS/ECS";"";"512KB";"";"";""
"NoError";"Loopz (c) 1990 Audiogenic/Mindscape.";"1990 Audiogenic/Mindscape";"whdload";"0";"Loopz";"Loopz";"333878";"L\Loopz\Loopz.Slave";"4096";"L\Loopz";"524288";"Loopz";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Lords Of Chaos ? 1991 Blade Software.";"1991 Blade Software";"whdload";"0";"Lords Of Chaos";"LordsOfChaos";"2444574";"L\LordsOfChaos\LordsOfChaos.Slave";"0";"L\LordsOfChaos";"524288";"LordsOfChaos";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Lords Of Chaos ? 1991 Blade Software.";"1991 Blade Software";"whdload";"0";"Lords Of Chaos";"LordsOfChaos&DataDisk";"2445173";"L\LordsOfChaos&DataDisk\LordsOfChaos&DataDisk.Slave";"0";"L\LordsOfChaos&DataDisk";"524288";"LordsOfChaos";"OCS/ECS";"";"";"";"";"DataDisk"
"NoError, EmulTrap, NoKbd, ClearMem";"Lotus Esprit Turbo Challenge ? 1990 Gremlin";"1990 Gremlin/Magnetic Fields ";"whdload";"0";"Lotus Turbo Esprit Challenge";"Lotus";"877516";"L\Lotus\Lotus.Slave";"4096";"L\Lotus";"524288";"Lotus";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Luxor (c) 1988 Software Horizons Ltd/Paradox";"1988 Software Horizons Ltd/Paradox Software";"whdload";"0";"Luxor";"Luxor";"391352";"L\Luxor\Luxor.Slave";"0";"L\Luxor";"524288";"Luxor";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mad Professor Mariarti by Krisalis (c) 1990 - 1 disk.";"1990 Krisalis";"whdload";"0";"Mad Professor Mariarti";"MadProfessorMariarti";"861133";"M\MadProfessorMariarti\MadProfessorMariarti.slave";"0";"M\MadProfessorMariarti";"524288";"MadProfessorMariarti";"OCS/ECS";"";"";"";"";""
"NoError";"Magic Boy by Blue Turtle (c) 1993 - 1 disk.";"1993 Blue Turtle";"whdload";"0";"Magic Boy";"MagicBoy";"370334";"M\MagicBoy\MagicBoy.slave";"0";"M\MagicBoy";"524288";"MagicBoy";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Magician by Loriciel (c) 1990 - 1 disk.";"1990 Loriciel";"whdload";"0";"Magician";"Magician";"910334";"M\Magician\Magician.Slave";"0";"M\Magician";"524288";"Magician";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Magic Lines (c) 1990 Thalion - 1 disk.";"1990 Thalion";"whdload";"0";"Magic Lines";"MagicLines";"412306";"M\MagicLines\MagicLines.Slave";"4096";"M\MagicLines";"524288";"MagicLines";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Magic Pockets ? 1991 Renegade.";"1991 The Bitmap Brothers";"whdload";"0";"Magic Pockets";"MagicPockets";"954304";"M\MagicPockets\MagicPockets.Slave";"0";"M\MagicPockets";"524288";"MagicPockets";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Magnatron ? BSP Design.";"BSP Design";"whdload";"0";"Magnatron";"Magnatron";"792069";"M\Magnatron\Magnatron.Slave";"0";"M\Magnatron";"524288";"Magnatron";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Manchester United ? 1990 Krisalis.";"1990 Krisalis";"whdload";"0";"Manchester United";"ManchesterUnited";"1823736";"M\ManchesterUnited\ManchesterUnited.Slave";"0";"M\ManchesterUnited";"524288";"ManchesterUnited";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Man from the Council (c) 1987 Pumpkinsoft/Tynesoft -";"1987 Pumpkinsoft/Tynesoft";"whdload";"0";"Man From The Council";"ManFromTheCouncil";"402313";"M\ManFromTheCouncil\ManFromTheCouncil.Slave";"0";"M\ManFromTheCouncil";"524288";"ManFromTheCouncil";"OCS/ECS";"";"";"";"";""
"EmulTrap, ClearMem";"";"1983/1991 Software Projects";"whdload";"0";"Manic Miner";"ManicMiner";"761550";"M\ManicMiner\ManicMiner.slave";"0";"M\ManicMiner";"524288";"ManicMiner";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Manix by Millenium (c) 1990 - 1 disk.";"1990 Millennium";"whdload";"0";"Manix";"Manix";"912206";"M\Manix\Manix.Slave";"0";"M\Manix";"524288";"Manix";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Masterblazer (c) 1990 Rainbow Arts.";"";"whdload";"0";"";"Masterblazer";"1025492";"M\Masterblazer\Masterblazer.slave";"";"M\Masterblazer";"524288";"Masterblazer";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"MatrixMarauders";"827038";"M\MatrixMarauders\MatrixMarauders.slave";"";"M\MatrixMarauders";"524288";"MatrixMarauders";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Mayday Squad by TyneSoft (c) 19??.";"19?? TyneSoft";"whdload";"0";"Mayday Squad";"MaydaySquadHeroes";"954264";"M\MaydaySquadHeroes\MaydaySquadHeroes.Slave";"0";"M\MaydaySquadHeroes";"524288";"MaydaySquadHeroes";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"McDonald Land ? 1993 Virgin.";"1992 Virgin";"whdload";"0";"McDonald Land";"McDonaldLand";"847925";"M\McDonaldLand\McDonaldLand.Slave";"4096";"M\McDonaldLand";"524288";"McDonaldLand";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mean Machine by Code Masters/Optimus (c) 1991 - 1 disk.";"1991 Code Masters";"whdload";"0";"Mean Machine";"MeanMachine";"205491";"M\MeanMachine\MeanMachine.slave";"0";"M\MeanMachine";"524288";"MeanMachine";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Mean Streets by US Gold (c) 1990 - 2 disks.";"1990 US Gold";"whdload";"0";"Mean Streets";"MeanStreets";"1629889";"M\MeanStreets\MeanStreets.slave";"0";"M\MeanStreets";"524288";"MeanStreets";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Mega Twins ? 1991 US Gold/SEGA.";"1991 Capcom/US Gold";"whdload";"0";"Mega Twins";"MegaTwins";"1649464";"M\MegaTwins\MegaTwins.slave";"0";"M\MegaTwins";"524288";"MegaTwins";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Menace by Psygnosis/DMA Design (c) 1988 - 1 disk.";"1988 Psygnosis";"whdload";"0";"Menace";"Menace";"1007246";"M\Menace\Menace.Slave";"4096";"M\Menace";"524288";"Menace";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"Mercenary ? 1986 Novagen.";"1986 Novagen";"whdload";"0";"Mercenary";"Mercenary";"374703";"M\Mercenary\Mercenary.slave";"0";"M\Mercenary";"524288";"Mercenary";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Mercenary 3 ? 1991 Novagen.";"1991 Novagen";"whdload";"0";"Mercenary 3 - The Dion Crisis";"Mercenary3";"531630";"M\Mercenary3\Mercenary3.Slave";"0";"M\Mercenary3";"524288";"Mercenary3";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Mercs ? 1991 Tiertex/US Gold.";"1991 Tiertex";"whdload";"0";"Mercs";"Mercs";"803989";"M\Mercs\Mercs.Slave";"0";"M\Mercs";"524288";"Mercs";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Merv the Merciless ? 1989 Probe Software Ltd.";"1989 Probe Software Ltd";"whdload";"0";"-+ Merv the Merciless +-";"MervTheMerciless";"311013";"M\MervTheMerciless\MervTheMerciless.slave";"0";"M\MervTheMerciless";"524288";"MervTheMerciless";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Metal Law (c) 1992 New Bits on the Ram.";"";"whdload";"0";"";"MetalLaw";"625335";"M\MetalLaw\MetalLaw.slave";"";"M\MetalLaw";"524288";"MetalLaw";"OCS/ECS";"";"";"";"";""
"NoError";"MF Tanks (c) 1994 Magnetic Fields - 1 disk.";"1994 Magnetic Fields";"whdload";"0";"MF Tanks";"MFTanks";"115277";"M\MFTanks\MFTanks.Slave";"0";"M\MFTanks";"524288";"MFTanks";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Miami Chase by Code Masters/Team 17 (c) 1990 - 2 disks.";"1990 Team 7";"whdload";"0";"Miami Chase";"MiamiChase";"1814731";"M\MiamiChase\MiamiChase.Slave";"0";"M\MiamiChase";"524288";"MiamiChase";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mickey Mouse (c) 1988 Gremlin - 1 disk.";"1988 Gremlin";"whdload";"0";"Mickey Mouse";"MickeyMouseComputerGame";"739035";"M\MickeyMouseComputerGame\MickeyMouseComputerGame.Slave";"4096";"M\MickeyMouseComputerGame";"524288";"MickeyMouseComputerGame";"OCS/ECS";"";"";"";"";""
"NoError";"Microbes (c) 1992 Vision. You can download the";"1992 Vision";"whdload";"0";"Microbes";"Microbes";"304502";"M\Microbes\Microbes.Slave";"0";"M\Microbes";"524288";"Microbes";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"";"1993 Codemasters";"whdload";"0";"MicroMachines";"MicroMachines";"788322";"M\MicroMachines\MicroMachines.slave";"0";"M\MicroMachines";"524288";"MicroMachines";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Microprose Soccer ? 1989 Microprose.";"1989 Microprose";"whdload";"0";"Microprose Soccer";"MicroProseSoccer";"923770";"M\MicroProseSoccer\MicroProseSoccer.Slave";"0";"M\MicroProseSoccer";"524288";"MicroProseSoccer";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Midnight Resistance ??? 1990 Ocean.";"1990 Ocean/Special FX";"whdload";"0";"Midnight Resistance";"MidnightResistance";"1047924";"M\MidnightResistance\MidnightResistance.Slave";"0";"M\MidnightResistance";"524288";"MidnightResistance";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero";"Midwinter ? 1990 Rainbird";"1990 Rainbird";"whdload";"0";"Midwinter";"Midwinter";"1315036";"M\Midwinter\Midwinter.Slave";"0";"M\Midwinter";"528384";"Midwinter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mig-29 Soviet Fighter by Code Masters/Rapier Design (c) 1990 - 1 disk.";"1990 CodeMasters";"whdload";"0";"Mig-29 Soviet Fighter";"Mig29SovietFighter";"386656";"M\Mig29SovietFighter\Mig29SovietFighter.Slave";"0";"M\Mig29SovietFighter";"524288";"Mig29SovietFighter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Mighty Bombjack (c) 1990 Elite - 1 disk.";"1990 Elite";"whdload";"0";"Mighty Bombjack";"MightyBombJack";"738822";"M\MightyBombJack\MightyBombjack.Slave";"0";"M\MightyBombJack";"524288";"MightyBombJack";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Mike Read's Computer Pop Quiz (c) 1988 Elite - 1 disk.";"1988 Elite";"whdload";"0";"Mike Read";"MikeReadsComputerPopQuiz";"366220";"M\MikeReadsComputerPopQuiz\MikeReadsComputerPopQuiz.Slave";"4096";"M\MikeReadsComputerPopQuiz";"524288";"MikeReadsComputerPopQuiz";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Monster Business ? 1991 Eclipse.";"1991 Eclipse";"whdload";"0";"Monster Business";"MonsterBusiness";"337617";"M\MonsterBusiness\MonsterBusiness.Slave";"0";"M\MonsterBusiness";"524288";"MonsterBusiness";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"The Moochies by Breadline (c) 1991 - 2 disks.";"1991 Breadline";"whdload";"0";"The Moochies";"Moochies";"1496279";"M\Moochies\Moochies.Slave";"0";"M\Moochies";"528384";"Moochies";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Moonshine Racers (c) 1991 Millennium - 2 disks.";"1991 Peak Star/Millennium";"whdload";"0";"Moonshine Racers";"MoonShineRacers";"1840243";"M\MoonShineRacers\MoonShineRacers.Slave";"0";"M\MoonShineRacers";"524288";"MoonShineRacers";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Morph by Millennium/Flair (c) 1993 - 2 disks or 1 CD.";"1993 Millennium";"whdload";"0";"Morph (OCS)";"Morph";"1813517";"M\Morph\Morph.Slave";"0";"M\Morph";"524288";"Morph";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"MOT ? 1989 Opera Soft.";"1989 Opera Soft";"whdload";"0";"Mot";"MOT";"1854806";"M\MOT\MOT.Slave";"0";"M\MOT";"524288";"MOT";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Motorhead (c) 1992 Virgin - 1 disk.";"1992 Virgin";"whdload";"0";"Motorhead";"Motorhead";"949657";"M\Motorhead\Motorhead.Slave";"0";"M\Motorhead";"524288";"Motorhead";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mouse Quest (c) 1987 Micro Value/Tynesoft - 1 disk.";"1987 Micro Value/TDC";"whdload";"0";"MouseQuest";"MouseQuest";"102364";"M\MouseQuest\MouseQuest.Slave";"4096";"M\MouseQuest";"524288";"MouseQuest";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mousetrap (c) 1987 Micro Value/Tynesoft - 1 disk.";"1987 Micro Value/Tynesoft";"whdload";"0";"Mousetrap";"Mousetrap";"268960";"M\Mousetrap\Mousetrap.Slave";"4096";"M\Mousetrap";"524288";"Mousetrap";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, NoKbd, ClearMem";"Monty Python's Flying Circus ? 1990 Core Design/Virgin.";"1990 Core Design/Virgin Games";"whdload";"0";"Monty Pythons Flying Circus";"MPythonsFlyingCircus";"925780";"M\MPythonsFlyingCircus\MPythonsFlyingCircus.Slave";"0";"M\MPythonsFlyingCircus";"524288";"MPythonsFlyingCircus";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Mr Do! Run Run (c) 1990 Electrocoin - 1 disk.";"1990 Electrocoin";"whdload";"0";"Mr Do! Run Run";"MrDoRunRunImage";"300640";"M\MrDoRunRunImage\MrDoRunRunImage.Slave";"0";"M\MrDoRunRunImage";"524288";"MrDoRunRun";"OCS/ECS";"";"";"";"Image";""
"Disk, NoError, EmulTrap";"M.U.D.S. ? 1990 Rainbow Arts.";"";"whdload";"0";"";"MUDS";"1813963";"M\MUDS\MUDS.slave";"";"M\MUDS";"524288";"MUDS";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"The Munsters by Tiger Developments/Teque (c) 1988 - 1 disk.";"1988 Teque";"whdload";"0";"The Munsters";"Munsters";"588484";"M\Munsters\Munsters.Slave";"0";"M\Munsters";"528384";"Munsters";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Murder by US Gold (c) 1990 - 1 disk.";"1990 US Gold";"whdload";"0";"Murder";"Murder";"545681";"M\Murder\Murder.Slave";"0";"M\Murder";"524288";"Murder";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Mysterious Worlds (c) 1990 Playstone Design/Amigafun.";"1990 Playstone Design";"whdload";"0";"Mysterious Worlds";"MysteriousWorlds";"928767";"M\MysteriousWorlds\MysteriousWorlds.Slave";"0";"M\MysteriousWorlds";"524288";"MysteriousWorlds";"OCS/ECS";"";"";"";"";""
"NoError";"Narc by Ocean (c) 1990 - 1 disk.";"";"whdload";"0";"";"Narc";"915334";"N\Narc\Narc.slave";"";"N\Narc";"524288";"Narc";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Narco Police by Dinamic (c) 1990 - 1 disk.";"1990 Dinamic";"whdload";"0";"Narco Police";"NarcoPolice";"909208";"N\NarcoPolice\NarcoPolice.Slave";"0";"N\NarcoPolice";"524288";"NarcoPolice";"OCS/ECS";"";"";"";"";""
"NoError";"Navy Moves ? 1989 Dinamic Software.";"1989 Dinamic ";"whdload";"0";"Navy Moves";"NavyMoves";"917539";"N\NavyMoves\NavyMoves.Slave";"0";"N\NavyMoves";"524288";"NavyMoves";"OCS/ECS";"";"";"";"";""
"NoError";"Navy Seals by Ocean (c) 1990 - 1 disk.";"1990 Ocean";"whdload";"0";"Navy Seals";"NavySeals";"909589";"N\NavySeals\NavySeals.Slave";"0";"N\NavySeals";"524288";"NavySeals";"OCS/ECS";"";"";"";"";""
"NoError";"Nebulus (C) 1987/88 Hewson.";"1987/88 Hewson";"whdload";"298496";"Nebulus";"Nebulus";"346755";"N\Nebulus\Nebulus.Slave";"0";"N\Nebulus";"524288";"Nebulus";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Nebulus 2 ? 1991 21st Century.";"";"whdload";"0";"";"Nebulus2";"2680729";"N\Nebulus2\Nebulus2.slave";"0";"N\Nebulus2";"524288";"Nebulus2";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Necronom by LineL (c) 1990 - 1 disk.";"1990 LineL";"whdload";"0";"Necronom";"Necronom";"916990";"N\Necronom\Necronom.Slave";"0";"N\Necronom";"524288";"Necronom";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Neighbours (c) 1991 Impulze/Zeppelin - 1 disk.";"1991 Impulze/Zeppelin";"whdload";"0";"Neighbours";"Neighbours";"931884";"N\Neighbours\Neighbours.Slave";"0";"N\Neighbours";"524288";"Neighbours";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, ClearMem";"Netherworld ? 1986 Hewson.";"1988 Hewson";"whdload";"0";"Netherworld";"Netherworld";"422331";"N\Netherworld\Netherworld.slave";"0";"N\Netherworld";"524288";"Netherworld";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, ClearMem";"Never Ending Story II ? 1990 Linel.";"1990 Linel";"whdload";"0";"Never Ending Story II";"NeverEndingStory2";"917573";"N\NeverEndingStory2\NeverEndingStory2.slave";"0";"N\NeverEndingStory2";"524288";"NeverEndingStory2";"OCS/ECS";"";"";"";"";""
"NoError, ClearMem";"Nevermind ? 1989 Psyclapse";"1989 Psyclapse";"whdload";"0";"Nevermind";"NeverMind";"980522";"N\NeverMind\Nevermind.Slave";"4096";"N\NeverMind";"524288";"NeverMind";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoDivZero, ClearMem";"New Year Lemmings 91/92 ? 1991 Psygnosis";"1991 Psygnosis";"whdload";"0";"New Year Lemmings 91/92";"NewYearLemmings199192";"593788";"N\NewYearLemmings199192\NewYearLemmings199192.Slave";"4096";"N\NewYearLemmings199192";"524288";"NewYearLemmings199192";"OCS/ECS";"";"";"";"";""
"Disk, NoError";"";"1988 Ocean";"whdload";"0";"The New Zealand Story";"NewZealandStory";"922956";"N\NewZealandStory\NewZealandStory.slave";"0";"N\NewZealandStory";"524288";"NewZealandStory";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Nicky Boom ? 1992 Microids.";"1992 Microids";"whdload";"0";"Nicky Boom";"NickyBoom";"930492";"N\NickyBoom\NickyBoom.Slave";"0";"N\NickyBoom";"524288";"NickyBoom";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Nigel Mansell's Grand Prix (c) 1988 Martech - 1 disk.";"1988 Martech";"whdload";"0";"Nigel Mansell";"NigelMansellsGrandPrix";"378271";"N\NigelMansellsGrandPrix\NigelMansellsGrandPrix.Slave";"0";"N\NigelMansellsGrandPrix";"524288";"NigelMansellsGrandPrix";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, ClearMem";"Night Breed - The Action Game by Ocean (c) 1991 - 2 disks.";"1992 Ocean";"whdload";"0";"Night Breed [The Action Game]";"NightbreedAction";"1813792";"N\NightbreedAction\NightbreedAction.Slave";"0";"N\NightbreedAction";"548864";"NightbreedAction";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Night Breed Interactive Movie ? 1990 Ocean Software Ltd";"1990 Ocean Software Ltd";"whdload";"0";"Night Breed - The Interactive Movie";"NightbreedMovie";"1771351";"N\NightbreedMovie\NightbreedMovie.Slave";"0";"N\NightbreedMovie";"524288";"NightbreedMovie";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap";"Nightdawn (c) 1989 Magic Bytes, pal- and ntsc-version.";"";"whdload";"0";"";"Nightdawn";"893064";"N\Nightdawn\Nightdawn.slave";"";"N\Nightdawn";"524288";"Nightdawn";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd, ClearMem";"Night Hunter ?1990 Ubi Soft";"1990 Ubi Soft";"whdload";"0";"Night Hunter";"NightHunter";"1500541";"N\NightHunter\NightHunter.slave";"0";"N\NightHunter";"524288";"NightHunter";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"International Ninja Rabbits by Microvalue/Flair (c) 1991 - 1 disk.";"1991 Microvalue";"whdload";"0";"International Ninja Rabbits";"NinjaRabbits";"911134";"N\NinjaRabbits\NinjaRabbits.Slave";"0";"N\NinjaRabbits";"524288";"NinjaRabbits";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, NoKbd";"";"1988 Mediagenic";"whdload";"0";"Ninja Spirit";"NinjaSpirit";"910148";"N\NinjaSpirit\NinjaSpirit.Slave";"0";"N\NinjaSpirit";"524288";"NinjaSpirit";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap, NoKbd";"Ninja Warriors ? 1989 Sales Curve";"1989 The Sales Curve Ltd.";"whdload";"0";"Ninja Warriors";"NinjaWarriors";"2013858";"N\NinjaWarriors\NinjaWarriors.Slave";"0";"N\NinjaWarriors";"524288";"NinjaWarriors";"OCS/ECS";"";"";"";"";""
"Disk, NoError, EmulTrap, ClearMem";"Nitro by Psygnosis (c) 1990 - 1 disk.";"1990 Psygnosis";"whdload";"0";"Nitro";"Nitro";"1053149";"N\Nitro\Nitro.slave";"0";"N\Nitro";"524288";"Nitro";"OCS/ECS";"";"";"";"";""
"NoError, EmulTrap";"Nitro Boost Challenge by Codemasters (c) 1989 - 1 disk.";"1989 Code Masters";"whdload";"0";"Nitro Boost Challenge";"NitroBoostChallenge";"517646";"N\NitroBoostChallenge\NitroBoostChallenge.slave";"0";"N\NitroBoostChallenge";"524288";"NitroBoostChallenge";"OCS/ECS";"";"";"";"";""
"NoError, EmulPriv";"the game Nobby The Aardvark ? 1992 Genesis/Thalamus.";"1992 Genesis/Thalamus";"whdload";"0";"Nobby The Aardvark";"NobbyTheAardvark";"448011";"N\NobbyTheAardvark\NobbyTheAardvark.slave";"0";"N\NobbyTheAardvark";"524288";"NobbyTheAardvark";"OCS/ECS";"";"";"";"";""
"Disk, ClearMem";"";"1991 Expose Software / Eternal";"whdload";"0";"No Buddies Land";"NoBuddiesLand";"1987371";"N\NoBuddiesLand\NoBuddiesLand.slave";"0";"N\NoBuddiesLand";"524288";"NoBuddiesLand";"OCS/ECS";"";"";"";"";""
"ClearMem";"";"1988 Arcana";"whdload";"0";"No Excuses";"NoExcuses";"382787";"N\NoExcuses\NoExcuses.slave";"0";"N\NoExcuses";"524288";"NoExcuses";"OCS/ECS";"";"";"";"";""
