"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"EmulTrap, NoDivZero";"867614";"G\GrahamGoochWCCricket\GrahamGoochWCCricket.Slave";"Graham Gooch World Class Cricket (c) 1993 Audiogenic.";"0";"GrahamGoochWCCricket";"Graham Gooch World Class Cricket";"1993 Audiogenic";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrahamGoochWCCricket";"OCS/ECS";"";"";"";"";"graham gooch wccricket world class cricket english"
"EmulTrap, NoDivZero";"954822";"G\GrahamGoochWCCricketSE\GrahamGoochWCCricketSE.Slave";"Graham Gooch World Class Cricket: Test Match";"0";"GrahamGoochWCCricketSE";"Graham Gooch";"1994 Audiogenic";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrahamGoochWCCricketSE";"OCS/ECS";"";"";"";"";"graham gooch wccricket se english"
"Disk, NoError";"927335";"G\GrandMonsterSlam\GrandMonsterSlam.Slave";"";"0";"GrandMonsterSlam";"Grand Monster Slam";"1989 Rainbow Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrandMonsterSlam";"OCS/ECS";"";"";"";"";"grand monster slam english"
"NoError, EmulPriv, Examine";"788101";"G\GrandPrixCircuit\GrandPrixCircuit.Slave";"Grand Prix Circuit ? 1989 D.S.I.";"0";"GrandPrixCircuit";"Grand Prix Circuit";"1989 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrandPrixCircuit";"OCS/ECS";"";"";"";"";"grand prix circuit english"
"NoError, EmulTrap, ClearMem";"414947";"G\GrandPrixMaster\GrandPrixMaster.Slave";"Grand Prix Master (c) 1989 Dinamic - 1 disk.";"0";"GrandPrixMaster";"Grand Prix Master";"1989 Dinamic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrandPrixMaster";"OCS/ECS";"";"";"";"";"grand prix master english"
"NoError, EmulPriv, Examine";"467606";"G\GrannysGarden\GrannysGarden.Slave";"Granny's Garden ? 1990 4-Mation Education Resources.";"0";"GrannysGarden";"Granny";"1990 4-Mation Education Resources";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GrannysGarden";"OCS/ECS";"";"";"";"";"grannys garden granny english"
"NoError, EmulTrap, EmulPriv, Examine, EmulDivZero";"959147";"G\Gravity\Gravity.Slave";"Gravity ? 1990 Image Works.";"0";"Gravity";"Gravity";"1989 Imageworks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gravity";"OCS/ECS";"";"";"";"";"gravity english"
"EmulTrap, ClearMem";"932674";"G\GravityForce\GravityForce.Slave";"";"0";"GravityForce";"Gravity Force";"1989 Kingsoft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GravityForce";"OCS/ECS";"";"";"";"";"gravity force english"
"Disk, NoError";"933108";"G\GreatCourts\GreatCourts.slave";"Great Courts / Pro Tennis Tour ? 1989 Blue Byte/Ubi Soft";"0";"GreatCourts";"Great Courts / Pro Tennis Tour";"1993 Ubi Soft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GreatCourts";"OCS/ECS";"";"";"";"";"great courts pro tennis tour english"
"NoError, ClearMem, Examine";"756399";"G\GreatCourts2\GreatCourts2.Slave";"Great Courts 2 ? 1991 Blue Byte";"0";"GreatCourts2";"Great Courts 2 / Pro Tennis Tour 2";"1991 Blue Byte";"778240";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GreatCourts2";"OCS/ECS";"";"";"";"";"great courts 2 pro tennis tour english"
"NoError, EmulTrap, ClearMem";"917884";"G\GreatGianaSisters\GreatGianaSisters.slave";"Great Giana Sisters (c) 1988 Timewarp/Rainbow Arts.";"0";"GreatGianaSisters";"The Great Giana Sisters";"1988 Timewarp/Rainbow Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GreatGianaSisters";"OCS/ECS";"";"";"";"";"great giana sisters the english"
"Disk, NoError, EmulTrap";"872502";"G\Gremlins2\Gremlins2.Slave";"Gremlins 2: The new batch ? 1990 Elite";"0";"Gremlins2";"Gremlins 2: The new batch";"1990 Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gremlins2";"OCS/ECS";"";"";"";"";"gremlins 2 the new batch english"
"NoError, EmulPriv, Examine";"592661";"G\Gridiron\Gridiron.Slave";"Gridiron! ? 1986 Bethesda Softworks.";"0";"Gridiron";"Gridiron!";"1986 Bethesda Softworks";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gridiron";"OCS/ECS";"";"";"";"";"gridiron english"
"NoError, EmulPriv, Examine";"686135";"G\GridStart\GridStart.Slave";"Grid Start ? 1987 Anco";"0";"GridStart";"Grid Start";"1987 Anco";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GridStart";"OCS/ECS";"";"";"";"";"grid start english"
"NoError, EmulTrap";"2718158";"G\GTSoccerChallenge\GTSoccerChallenge.Slave";"Graham Taylor's Soccer Challenge ? 1992 Krisalis.";"0";"GTSoccerChallenge";"Graham Taylor";"1992 Krisalis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GTSoccerChallenge";"OCS/ECS";"";"";"";"";"graham taylors soccer challenge"
"NoError, EmulPriv, Examine";"919369";"G\GuardianAngel\GuardianAngel.Slave";"Guardian Angel (c) 1989 Iron Byte/Codemasters - 1";"0";"GuardianAngel";"Guardian Angel";"1989 Iron Byte/Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GuardianAngel";"OCS/ECS";"";"";"";"";"guardian angel english"
"NoError, EmulPriv";"2734247";"G\GuildOfThieves\GuildOfThieves.Slave";"The Guild of Thieves ? 1990 Magnetic Scrolls";"0";"GuildOfThieves";"* *  * Magnetic Scrolls - Volume I *  * *";"1986-91 Magnetic Scrolls";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GuildOfThieves";"OCS/ECS";"";"";"";"";"guild of thieves magnetic scrolls volume 1 english"
"NoError, EmulTrap";"844148";"G\GuldkornExpressenDk512KB\GuldkornExpressenDk512KB.slave";"Guldkorn Expressen by Silver Rock - 1 disk.";"0";"GuldkornExpressenDk512KB";"Guldkorn Expressen";"19xx SilverRock";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GuldkornExpressen";"OCS/ECS";"Dk";"512KB";"";"";"guldkorn expressen english"
"NoError, EmulPriv, ClearMem, Examine";"1148284";"G\Gunboat\Gunboat.Slave";"Gunboat ? 1991 Accolade";"0";"Gunboat";"Gunboat";"1991 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gunboat";"OCS/ECS";"";"";"";"";"gunboat english"
"NoError, EmulPriv, Examine";"659834";"G\Gunship\Gunship.slave";"Gunship ? 1987-1989 Microprose, 1 disk.";"0";"Gunship";"Gunship";"1987-1989 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gunship";"OCS/ECS";"";"";"";"";"gunship english"
"NoError, Req68020, EmulPriv, ClearMem, Examine";"3466679";"G\Gunship2000AGA\Gunship2000AGA.slave";"Gunship 2000 ? 1993 Microprose";"0";"Gunship2000AGA";"Gunship 2000 AGA";"1993 Microprose";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"Gunship2000";"AGA";"";"";"";"";"gunship 2000 english"
"NoError";"180380";"G\Gunshoot\Gunshoot.Slave";"Gunshoot (c) 1988 Micropartner - 1 disk.";"0";"Gunshoot";"Gunshoot";"1988 Micropartner";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Gunshoot";"OCS/ECS";"";"";"";"";"gunshoot english"
"NoError, EmulTrap, EmulPriv";"4010838";"G\GuySpyCDTV\GuySpyCDTV.Slave";"Guy Spy ? 1989 ReadySoft (4 disks).";"0";"GuySpyCDTV";"GuySpy CDTV";"1993 ReadySoft";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"GuySpy";"CDTV";"";"";"";"";"guy spy english"
"NoError, EmulPriv, Examine";"928892";"H\Hacker\Hacker.Slave";"Hacker ? 1985 Activision.";"0";"Hacker";"Hacker";"1985 Activision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hacker";"OCS/ECS";"";"";"";"";"hacker english"
"NoError, EmulPriv, Examine";"303716";"H\Hacker2\Hacker2.Slave";"Hacker 2:  The Doomsday Papers (c) 1986 Activision";"0";"Hacker2";"Hacker 2: The Doomsday Papers";"1986 Activision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hacker2";"OCS/ECS";"";"";"";"";"hacker 2 the doomsday papers english"
"NoError, EmulPriv";"2728616";"H\HagarTheHorrible\HagarTheHorrible.Slave";"H?gar ? 1991 KingSoft.";"0";"HagarTheHorrible";"Hagar";"1991 KingSoft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HagarTheHorrible";"OCS/ECS";"";"";"";"";"hagar the horrible english"
"NoError, EmulTrap, NoKbd";"927566";"H\HalleyProject\HalleyProject.Slave";"The Halley Project (c) 1986 Mindscape - 1 disk.";"0";"HalleyProject";"The Halley Project";"1986 Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HalleyProject";"OCS/ECS";"";"";"";"";"halley project the english"
"NoError, EmulTrap";"668264";"H\HammerBoy\HammerBoy.slave";"Hammerboy by Dinamic (c) 1990 - 1 disk.";"0";"HammerBoy";"Hammerboy";"1990 Dinamic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HammerBoy";"OCS/ECS";"";"";"";"";"hammer boy english"
"NoError, EmulTrap";"798457";"H\Hammerfist\Hammerfist.slave";"Hammerfist by Vivid Image (c) 1990 - 1 disk.";"0";"Hammerfist";"Hammerfist";"1990 Vivid Image";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hammerfist";"OCS/ECS";"";"";"";"";"hammerfist english"
"NoError, EmulTrap";"857411";"H\HaraldHaardtandDk\HaraldHaardtandDk.slave";"Colgate by Silver Rock (c) 1992 - 1 disk.";"0";"HaraldHaardtandDk";"Colgate - Harald Hardtand";"1992 Silver Rock";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HaraldHaardtand";"OCS/ECS";"Dk";"";"";"";"harald haardtand colgate hardtand english"
"NoError, EmulPriv, ClearMem, Examine";"426692";"H\HardBall\HardBall.Slave";"HardBall! ? 1987 Accolade";"0";"HardBall";"HardBall!";"1987 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HardBall";"OCS/ECS";"";"";"";"";"hard ball english"
"NoError, EmulPriv, ClearMem, Examine";"792904";"H\HardBall2\HardBall2.Slave";"HardBall II ? 1990 Accolade";"0";"HardBall2";"HardBall II";"1990 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HardBall2";"OCS/ECS";"";"";"";"";"hard ball 2 english"
"EmulPriv, ClearMem, Examine";"494437";"H\HardDrivin\HardDrivin.Slave";"";"0";"HardDrivin";"Hard Drivin";"1989 Tengen / Atari / Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HardDrivin";"OCS/ECS";"";"";"";"";"hard drivin english"
"EmulPriv, ClearMem, Examine";"681864";"H\HardDrivin2\HardDrivin2.Slave";"";"0";"HardDrivin2";"Hard Drivin";"1991 Tengen / Atari / Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HardDrivin2";"OCS/ECS";"";"";"";"";"hard drivin 2 english"
"Disk, NoError, EmulTrap, NoKbd";"704631";"H\HardNHeavy\HardNHeavy.Slave";"Hard'n'Heavy (c) 1989 Reline.";"0";"HardNHeavy";"Hard";"1989 Reline";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HardNHeavy";"OCS/ECS";"";"";"";"";"hard nheavy english"
"NoError, EmulTrap, ClearMem";"2857448";"H\Harlequin512KB\Harlequin512KB.Slave";"Harlequin ? 1990 Gremlin.";"0";"Harlequin512KB";"Harlequin";"1992 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Harlequin";"OCS/ECS";"";"512KB";"";"";"harlequin english"
"NoError, EmulTrap";"941322";"H\HarleyDavidson\HarleyDavidson.Slave";"Harley Davidson ? 1990 MINDSCAPE.";"0";"HarleyDavidson";"Harley Davidson";"1990 Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HarleyDavidson";"OCS/ECS";"";"";"";"";"harley davidson english"
"NoError, EmulPriv";"1824830";"H\Harpoon&Battleset1\Harpoon&Battleset1.Slave";"Harpoon ? 1990 Three Sixty";"0";"Harpoon&Battleset1";"-* Harpoon *-";"1990 Three Sixty";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Harpoon&Battleset1";"OCS/ECS";"";"";"";"";"harpoon battleset 1 english"
"NoError, EmulPriv";"1824830";"H\Harpoon&Battleset2\Harpoon&Battleset2.slave";"Harpoon ? 1990 Three Sixty";"0";"Harpoon&Battleset2";"-* Harpoon *-";"1990 Three Sixty";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Harpoon&Battleset2";"OCS/ECS";"";"";"";"";"harpoon battleset 2 north atlantic convoys"
"NoError, EmulPriv";"1824830";"H\Harpoon&Battleset3\Harpoon&Battleset3.slave";"Harpoon ? 1990 Three Sixty";"0";"Harpoon&Battleset3";"-* Harpoon *-";"1990 Three Sixty";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Harpoon&Battleset3";"OCS/ECS";"";"";"";"";"harpoon battleset 3 the mediterranean conflict"
"NoError, EmulPriv";"1824830";"H\Harpoon&Battleset4\Harpoon&Battleset4.slave";"Harpoon ? 1990 Three Sixty";"0";"Harpoon&Battleset4";"-* Harpoon *-";"1990 Three Sixty";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Harpoon&Battleset4";"OCS/ECS";"";"";"";"";"harpoon battleset 4 english"
"NoError, EmulPriv, Examine";"673091";"H\HarrierCombatSimulator\HarrierCombatSimulator.Slave";"Harrier Combat Simulator ? 1988 Mindscape.";"0";"HarrierCombatSimulator";"Harrier Combat Simulator";"1988 Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HarrierCombatSimulator";"OCS/ECS";"";"";"";"";"harrier combat simulator english"
"NoError";"460064";"H\HATE\HATE.slave";"HATE by Gremlin (c) 1990 - 1 disk.";"0";"HATE";"HATE";"19xx Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HATE";"OCS/ECS";"";"";"";"";"hate hostile all terrain encounter"
"NoError, EmulTrap";"895956";"H\Hawkeye\Hawkeye.slave";"Hawkeye by Thalamus (c) 1988 - 1 disk.";"0";"Hawkeye";"Hawkeye";"1988 Thalamus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hawkeye";"OCS/ECS";"";"";"";"";"hawkeye english"
"Disk, NoError";"223508";"H\HeadOverHeels\HeadOverHeels.slave";"Head over Heels (c) 1991 Ocean.";"0";"HeadOverHeels";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeadOverHeels";"OCS/ECS";"";"";"";"";"head over heels english"
"NoError, EmulPriv, ClearMem, Examine";"7168829";"H\HeartOfChina\HeartOfChina.Slave";"Heart Of China ?1991 Dynamix";"0";"HeartOfChina";"Heart Of China";"1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeartOfChina";"OCS/ECS";"";"";"";"";"heart of china english"
"NoError, EmulPriv, Examine";"2166451";"H\HeartOfTheDragon4Disk\HeartOfTheDragon4Disk.slave";"Heart Of The Dragon ? Roger Uzun & Adam Pollack.";"0";"HeartOfTheDragon4Disk";"Heart Of The Dragon";"Roger Uzun & Adam Pollack.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeartOfTheDragon";"OCS/ECS";"";"";"";"4Disk";"heart of the dragon english"
"NoError, EmulPriv, Examine";"2096913";"H\HeartOfTheDragon3Disk\HeartOfTheDragon3Disk.Slave";"Heart Of The Dragon ? Roger Uzun & Adam Pollack.";"0";"HeartOfTheDragon3Disk";"Heart Of The Dragon";"Roger Uzun & Adam Pollack.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeartOfTheDragon";"OCS/ECS";"";"";"";"3Disk";"heart of the dragon english"
"NoError, EmulTrap";"929393";"H\HeavyMetal\HeavyMetal.slave";"Heavy Metal by Access (c) 1990 - 1 disk.";"0";"HeavyMetal";"Heavy Metal";"1990 Access";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeavyMetal";"OCS/ECS";"";"";"";"";"heavy metal english"
"NoError, EmulTrap, NoKbd, ClearMem";"833388";"H\HeavyMetalHeroes\HeavyMetalHeroes.Slave";"Heavy Metal Heroes (Gold edition) ? 1991 PLayers.";"0";"HeavyMetalHeroes";"Heavy Metal Heroes (Gold Edition)";"1991 Players ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeavyMetalHeroes";"OCS/ECS";"";"";"";"";"heavy metal heroes gold edition english"
"Disk, NoError";"4516447";"H\Heimdall\Heimdall.Slave";"Heimdall ? 1992 Core Design.";"0";"Heimdall";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Heimdall";"OCS/ECS";"";"";"";"";"heimdall english"
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"5120417";"H\Heimdall2AGA\Heimdall2AGA.Slave";"Heimdall 2 Aga/Ecs/CD32 (C)1994 Core Design.";"0";"Heimdall2AGA";"Heimdall 2 AGA ";"1994 Core Design";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"Heimdall2";"AGA";"";"";"";"";"heimdall 2 into the hall of worlds"
"Disk, NoError, EmulTrap";"494361";"H\Hellbent\Hellbent.Slave";"Hellbent, ?1988 Novagen Software";"0";"Hellbent";"- H E L L B E N T -";"1988 Novagen Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hellbent";"OCS/ECS";"";"";"";"";"hellbent english"
"NoError, EmulTrap, NoKbd, ClearMem";"131342";"H\HellfireAttack\HellfireAttack.Slave";"Hellfire Attack (c) 1988 Martech - 1 disk.";"0";"HellfireAttack";"Hellfire Attack";"1988 Martech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HellfireAttack";"OCS/ECS";"";"";"";"";"hellfire attack english"
"NoError, EmulTrap, ClearMem";"798104";"H\Hellraider\Hellraider.slave";"Hellraider by Atari (c) 19?? - 1 disk.";"0";"Hellraider";"Hellraider";"19?? Atari";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hellraider";"OCS/ECS";"";"";"";"";"hellraider english"
"NoError, ClearMem";"708982";"H\HellRaisers\HellRaisers.Slave";"Hell Raisers ?1988 Exocet";"0";"HellRaisers";"Hell Raisers";"1988 Exocet";"389120";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HellRaisers";"OCS/ECS";"";"";"";"";"hell raisers english"
"NoError, EmulTrap";"911266";"H\HellrunMachine\HellrunMachine.Slave";"Hellrun Machine by Amiga Fun (c) 199? - 1 disk.";"0";"HellrunMachine";"Hellrun Machine";"199x Amiga Fun";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HellrunMachine";"OCS/ECS";"";"";"";"";"the hellrun machine"
"NoError, EmulTrap";"339017";"H\HelterSkelter\HelterSkelter.Slave";"Helter Skelter (c) 1990 Audiogenic.";"0";"HelterSkelter";"Helter Skelter";"1990 Audiogenic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HelterSkelter";"OCS/ECS";"";"";"";"";"helter skelter english"
"NoError, EmulTrap, ClearMem";"1203926";"H\HeroesOfTheLance\HeroesOfTheLance.slave";"Heroes Of The Lance ? 1988 SSI.";"0";"HeroesOfTheLance";"Heroes of the Lance";"1988 SSI";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeroesOfTheLance";"OCS/ECS";"";"";"";"";"heroes of the lance english"
"Disk, NoError, EmulTrap";"963610";"H\HeroQuest\HeroQuest.Slave";"";"0";"HeroQuest";"Hero Quest & Return of the Witchlord";"1991 Gremlin Graphics Ltd.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeroQuest";"OCS/ECS";"";"";"";"";"hero quest return of the witchlord english"
"Disk, NoError, EmulTrap";"1864746";"H\HeroQuest&ReturnWitchLord\HeroQuest&ReturnWitchLord.Slave";"";"0";"HeroQuest&ReturnWitchLord";"Hero Quest & Return of the Witchlord";"1991 Gremlin Graphics Ltd.";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeroQuest&ReturnWitchLord";"OCS/ECS";"";"";"";"";"hero quest return witch lord of the witchlord english"
"NoError, EmulPriv, Examine";"2136057";"H\HeroQuest2\HeroQuest2.Slave";"Hero Quest 2 - Legacy Of Sorasil ? 1993-1994 Gremlin.";"0";"HeroQuest2";"Hero Quest II - Legacy Of Sorasil";"1992 Gremlin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HeroQuest2";"OCS/ECS";"";"";"";"";"hero quest 2 legacy of sorasil english"
"NoError, EmulPriv, Examine";"3175509";"H\HerosQuest\HerosQuest.Slave";"Hero's Quest / Quest For Glory ? 1989 Sierra.";"0";"HerosQuest";"Hero";"1989 Sierra";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HerosQuest";"OCS/ECS";"";"";"";"";"heros quest hero english"
"NoError, Req68020, ReqAGA, EmulPriv, Examine";"3507233";"H\HighSeasTraderAGA\HighSeasTraderAGA.Slave";"High Seas Trader ? 1995 Impressions";"0";"HighSeasTraderAGA";"High Seas Trader";"1995 Impressions";"2093056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"HighSeasTrader";"AGA";"";"";"";"";"high seas trader english"
"NoError, EmulTrap";"361868";"H\HighSteel\HighSteel.Slave";"High Steel (c) 1989 Screen 7";"0";"HighSteel";"High Steel";"1989 Screen 7";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HighSteel";"OCS/ECS";"";"";"";"";"high steel english"
"NoError, EmulPriv, Examine";"1816740";"H\HighwayHawks\HighwayHawks.Slave";"Highway Hawks ? 1988 Anco";"0";"HighwayHawks";"Highway Hawks";"1988 Anco";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HighwayHawks";"OCS/ECS";"";"";"";"";"highway hawks english"
"NoError, EmulTrap, EmulPriv, Examine";"924088";"H\HighwayPatrol2\HighwayPatrol2.Slave";"Highway Patrol 2 ? 1989 Titus/Micro?ds.";"0";"HighwayPatrol2";"Highway Patrol II";"1989 Titus/Micro?ds";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HighwayPatrol2";"OCS/ECS";"";"";"";"";"highway patrol 2 english"
"NoError, EmulPriv";"958168";"H\Hillsfar\Hillsfar.Slave";"Hillsfar, ?1989 SSI";"0";"Hillsfar";"-* Hillsfar *-";"1989 SSI";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hillsfar";"OCS/ECS";"";"";"";"";"hillsfar english"
"NoError, EmulTrap, ClearMem";"927325";"H\HillStreetBlues\HillStreetBlues.Slave";"Hill Street Blues by Krisalis (c) 1990 - 1 disk.";"0";"HillStreetBlues";"Hill Street Blues";"1991 Krisalis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HillStreetBlues";"OCS/ECS";"";"";"";"";"hill street blues english"
"NoError, EmulPriv, Examine";"844426";"H\Hilt\Hilt.Slave";"Hilt ? 1994 Scorpius Software.";"0";"Hilt";"Hilt - Against The Hoardes";"1994 Scorpius Software";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hilt";"OCS/ECS";"";"";"";"";"hilt against the hoardes english"
"NoError, EmulTrap, EmulPriv, Examine";"1456650";"H\Hilt2\Hilt2.Slave";"Hilt II ? 1996 Scorpius Software.";"0";"Hilt2";"Hilt II";"1996 Scorpius Software";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Hilt2";"OCS/ECS";"";"";"";"";"hilt 2 english"
"NoError, ClearMem";"3443197";"H\HiredGuns512KB\HiredGuns512KB.Slave";"Hired Guns ? 1993 Psygnosis";"0";"HiredGuns512KB";"Hired Guns";"1993 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"HiredGuns";"OCS/ECS";"";"512KB";"";"";"hired guns english"
"NoError, Req68020, EmulPriv, Examine";"4743592";"H\Historyline\HistoryLine.Slave";"History Line 1914-1918 ? 1992 Blue Byte.";"0";"Historyline";"History Line 1914-1918";"1992 Blue Byte";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Historyline";"OCS/ECS";"";"";"";"";"historyline history line 1914 1918 english"
